Site,lat,lon
102,24.82421299,-76.25333204
107,24.81651496,-76.24628898
108,24.81740001,-76.24415603
119,24.82323297,-76.27358297
71,24.83281701,-76.27264998
73,24.85883301,-76.25428699
78,24.85274599,-76.24708501
84,24.83398603,-76.24285701
86,24.83545697,-76.25105199
90,24.84634297,-76.25416101
94,24.81939599,-76.26096603
99,24.84110503,-76.25338702
E3,24.81251503,-76.25950699
F4,24.82167897,-76.25008296
F5,24.82288303,-76.24753
New2,24.82081697,-76.26326703
